,nickname,text,score,like,dislike,time,watch_movie
392,한기표(d2ep****),"군더더기 없는 영화였다. 유치하지도 않고, 의미 있으면서 현실적인 영화. 악당도 현실적이고, 싸움이 너무 질질 안끌어서 재미있었다. 어쩜이리 잘만들었냐 깔끔하다 좋다 대박",8,3,0,2018-05-28 02:51:00,0
393,kjib****,열번을봐도재밌는영화 남자의로망이화면에담겨있다 그디테일함.. 오랜만에보면 언제나새로운영화,10,3,0,2018-05-13 08:09:00,0
394,굿랍(gudl****),이제야 마블영화에 관심 생겨서 봤는데 왜 이 명작을 몰랐을까. 정말 잘 만들었고 로다주 연기가 돋보이는 수작!,10,3,0,2018-05-12 12:31:00,0
395,도지시뚜빱빠(hmn4****),진짜 재미있다 진짜 멋이 있다,10,3,0,2018-05-12 02:24:00,0
396,Whity(yjbg****),"영화관에서 처음 보고 난 소감은 ""와.. 나도 저거 갖고 싶다.""였다",10,3,0,2018-03-13 13:22:00,0
397,스피드(mind****),방금 티비에서 해줘서 또봤다 이게 10년전영화라니 개재밌다 마지막대사ㅋㅋㅋㅋ 아이 엠 어 아이언맨아진짜 1이 제일재밌는거 같애..토니스타크 왜케잘생김ㅜㅜ,10,3,0,2018-03-10 01:13:00,0
398,금동이(0802****),이 영화에 평점을 낮게 주는 사람들은 마블 따라가다가 망한 영화들을 못 본 것이 분명하다.,10,3,0,2018-02-23 16:20:00,0
399,춤추는인형(fbok****),이거 덕에 인피니티 워까지 오게됨,10,3,0,2018-02-20 10:49:00,0
400,JamesBond(casi****),하이테크 슈퍼히어로의 탄생,10,3,0,2018-02-13 16:44:00,0
401,엑스(redt****),전설의 시작이다 개쩐다 아이언맨,10,3,0,2017-07-17 04:46:00,0
402,dfewfewfgge(bsh8****),이때는 마블이 이렇게 커질거라고 예상못했다,8,3,0,2017-04-22 11:19:00,0
403,Imp(abcd****),개인적으로 트랜스포머 1과 아이언맨 1은 내가 이때까지 본 영화중애 가장 기억에 남는 영화 당시 나에게 엄청난 충격으로 다가왔으니...,10,3,0,2017-04-13 00:29:00,0
404,옥타비아누스(rosu****),아ㅇ언맨은 일편이 가장재밋다,8,3,0,2017-03-28 17:01:00,0
405,정미영(jeon****),정말매우재밌게본영화,10,3,0,2017-02-03 21:34:00,0
406,이태민(clet****),키야~ 이것이야말로 최고의 영화!!,10,3,0,2017-01-24 20:08:00,0
407,LM10(rnah****),어릴때 잼나게본 추억이나네 10점!,10,3,0,2016-10-31 23:23:00,0
408,optimum(akao****),최고입니다 아이언맨1,10,3,0,2016-06-06 18:09:00,0
409,정진(ljj4****),제가처음으로본 마블영화인데 너무재미있어서계속 보게되네요 아이언맨4도나왔으면좋겠어요 로다주 짱!!,10,3,0,2016-06-05 21:52:00,0
410,최효빈(chb2****),와.. 너무개잼.. 꿀..,10,3,0,2016-05-27 02:37:00,0
411,JH(coms****),말 필요 없음 (10자),10,3,0,2016-05-24 16:27:00,0
412,dd(wkd7****),재밌어요! 어떻게 저렇게 찍었을까 신기하네여,10,3,0,2016-05-24 02:29:00,0
413,마이(junh****),걸작이다 진짜로...,10,3,0,2016-05-22 17:40:00,0
414,김다은(daeu****),말이필요없다 최고의 명작ㅠㅠ 지금 다시봐도 재밌네,10,3,0,2016-05-15 17:49:00,0
415,쉐이크쇼(meko****),광대한 세계관을 열게만든 그 첫번째 작품,8,3,0,2016-05-05 18:01:00,0
416,롤로노아(lian****),전설의 시작~!! 오늘날 마블을 만든 역작,10,3,0,2016-05-02 04:00:00,0
417,쿼트로(nirv****),마블 시네마 유니버스의 완벽한 시작,9,3,0,2016-04-30 13:44:00,0
418,dominion(rlad****),ㅇㅎ로오롤홀호롤호ㄹㄴㅍㅇ,10,3,0,2016-04-30 01:53:00,0
419,조군(whit****),"아이언맨, 전설의 시작",10,3,0,2016-04-29 20:27:00,0
420,MC민지(q5o1****),십점 만점에 십점 짱 쨩 찡 쭝,10,3,0,2016-04-26 20:42:00,0
421,타바타(penn****),시리즈의 꽤 괜찮은 시작,7,3,0,2016-04-17 21:26:00,0
422,별빛추억(gene****),역사의 시작점을 감상하라,10,3,0,2016-04-12 08:07:00,0
423,지향(st29****),누구나 재미있게 볼 수 있는 영화. 왜 이제서야 봤나 후회되는 영화,10,3,0,2015-12-19 15:46:00,0
424,wltj****,여태까지의 히어로물에서는 찾아볼 수 없는 유쾌함. 어렵지 않으면서도 긴장감과 재미를 놓치지 않는 스토리. 거기에 남자의 로망을 충족시켜주기에 아주 충분한 아이언맨 슈트까지. 완벽한 오락영화다.,10,3,0,2015-11-30 00:00:00,0
425,닭(eyes****),"10년전 영화인데.. 지금 봐도 재밌고, 재밌다 어벤져스여 영원하라. 20년후에도. 30년후에도. 100년후에도~",10,4,1,2019-05-19 21:57:00,0
426,rt(iron****),thank you ironman. love you 3000,10,4,1,2019-04-28 14:07:00,0
427,교환가능(kgu5****),아이언맨 3000만큼 사랑합니다,10,4,1,2019-04-28 00:42:00,0
428,jang****,마블은 아이언맨으로 시작해서 아이언맨으로 마침표를 찍는 완벽한 수미상관을 보여줬다.토니 스타크가 있어서 즐거웠습니다!,10,4,1,2019-04-24 17:52:00,0
429,gyhdegvj(whib****),로디 역 배우한테 제작자들이 출연료 후려치고 인종차별하는 짓거리만 안했어도 워머신은 테렌스 하워드 거였다...,6,4,1,2019-04-21 12:11:00,0
430,K2(vinc****),"진행이 느리다고 생각했으나 토니스타크의 성격, 배경, 히어로가 된 계기등을 잘표현해낸 영화.",7,4,1,2018-10-18 00:10:00,0
431,박민우(catc****),한창 트랜스포머 인기 많을때였고 아이언맨1 당시에는 인기별로없었는데 입소문도 안타고 이거 첨 보고 넘 충격적이였던 특히 수트 입는 장면이 넘 신기했음,10,4,1,2018-08-12 18:38:00,0
432,러쉬12(sook****),어벤저스는 세계를구하고 아이언맨은 마블을구한 히어로ㅋㅋ,10,4,1,2018-05-23 17:54:00,0
433,sorr****,마블시리즈의 전설의 시작 최고의 스타트,10,4,1,2018-05-16 16:51:00,0
434,이강인(hooc****),마블영화 정주행 시작했는데....대박이다 밤새서라도 다른거 다봐야지.,10,4,1,2018-05-13 18:11:00,0
435,iphone XI(css9****),마블전설의 진정한 시작이지 이영화가,10,4,1,2018-02-18 18:02:00,0
436,sacw****,로다주의 아이언맨 전설의 시작,10,5,2,2018-05-28 01:31:00,0
437,톰하디형사랑해(kim4****),마블에서 내가 최고로 재미있게본 히어로물,8,5,2,2018-02-04 14:59:00,0
438,머쨍이(cwi8****),오랜만에 다시봐도 재미있음,10,5,2,2017-11-09 17:52:00,0
439,MRX(phs3****),"전설의 시작, 끝의 전율",7,5,2,2017-11-04 17:36:00,0
440,Maniaccu(5526****),역대 최고의 슈퍼히어로 영화 중 하나이자 마블 시네마틱 유니버스를 출발시킨 기둥.,8,5,2,2017-09-18 13:03:00,0
441,오하영(tln5****),오늘 스파이더맨 봤는데 어벤져스가 궁금해서 어벤져스 볼랬더니 남편이 아이언맨부터 봐야한데서 그냥 봤는데우와 세상에!!!!~~~~너무재밌어요!!!지금새벽두시인데 2탄보고싶음. .우리 아들 4살인데 이거 같이보고 공감하...,10,5,2,2017-07-13 02:01:00,0
442,챔스황제의 귀환(cjhc****),모든 마블시리즈를 통틀어 아이언맨이 제일재밌었다 2는 약간딸리긴했지만 1쩔고 3는 싸우는 스케일이 오지고 어벤져스보다도 재밌었음 로버트다우니주니어 꿀잼,10,5,2,2016-08-13 00:46:00,0
443,ㅇㅅㅇ(alsk****),2년뒤면 벌써 10년된 영화네....  시간빠르다,10,5,2,2016-07-26 22:06:00,0
444,주유(hajr****),놀란의배트맨 다음가는 히어로물이아닌지...,9,5,2,2016-07-20 21:32:00,0
445,Ryan(ippo****),"토르나 헐크처럼 다혈질 기질이 다분하지만, 헐크처럼 이면의 어둠이 있지도 않고, 토르처럼 멍청하지도 않다. 스마트하고 유머러스한 캐릭터!",9,5,2,2016-05-11 03:30:00,0
446,clan****,어벤져스2 보러갈려고 1보고 궁금한게많아서 아이언맨1부터 보기시작했는데 이제서야 여러가지가 이해되고 있음ㅋㅋ 아 진짜 재밌다 마블시리즈.. 중독임,10,5,2,2015-05-04 01:19:00,0
447,천칭자리(msm1****),아이언맨이 밥상 다 차렸는데 캡틴페미가 숟가락얹음...,10,6,3,2019-07-05 11:56:00,0
448,임 상 현(kant****),밑에 아이론으로 읽어야된다는놈는 머리에 똥찬건가 교육을못받은건가 한숨밖에안나온다 Island이스랜드로 읽을놈이네  한심한놈,1,6,3,2017-04-30 23:37:00,0
449,해브(zeti****),흡사' 배트맨 비긴즈'가 생각났던.. 아이언맨의 탄생과정을 정말 수긍가게 그려냈다,10,6,3,2015-09-15 12:54:00,0
450,가랏냐옹니(kbm0****),2008년에 만든 영화 맞아? 퀄리티 오졌다.,10,2,0,2020-07-23 21:46:00,0
451,고투리(jdki****),스포일러가 포함된 감상평입니다. 감상평 보기,8,2,0,2020-07-10 00:23:00,0
452,샤프핸썸(tmdq****),말이 필요 없음 걍 보셈 끝,10,2,0,2020-07-08 20:22:00,0
453,맥시밀리언(dkat****),전설의 시작인 아이언맨1  마크2개발 장면에서는 심장이 뛰고 전율이 느껴짐,10,2,0,2020-06-22 12:47:00,0
454,신동현(dong****),와.... 보면서 몰랐네요,10,2,0,2020-06-18 21:39:00,0
455,임성민(lims****),제인생의 최고의영화에요 하지만이젠아이언맨이 안나오네요 ㅠㅠ,10,2,0,2020-06-13 10:08:00,0
456,럴트(easy****),로봇 비행슈트 슈퍼카 밀러터리 하다못해  미녀비서까지 남자들의 로망을 다 갖춘 영화,10,2,0,2020-06-09 00:52:00,0
457,ming****,,10,2,0,2020-06-09 00:26:00,0
