,nickname,text,score,like,dislike,time,watch_movie
402,Asdqwezxc(ret4****),하튼 한국인들이 재밌다는건 보면 다 재미없어... 해운대 부산행 명량 히말라야 신과함께 앞으론 믿고 거른다,2,13,4,2019-01-13 17:49:00,0
403,예진(whro****),왜 굳이 봐야하는지....평점이 왜 좋은지 모르겠는 영화...그냥 유해진이랑 조진웅이 살린영화,1,13,4,2018-11-24 13:40:00,0
404,박우진(skyo****),"불륜미화, 동성애 희화화, 여혐까지 환장의 콜라보;쓰레기 영화",1,14,5,2018-12-06 11:33:00,0
405,nsle****,배우들의 연기력은 뛰어나지만지은죄 없이도 맘 불편해지는 영화 고로 커플은 안보는게 정신건강에 좋을듯,1,15,6,2018-11-07 12:30:00,관람객
406,tmdd****,처음에는 재밋었는데 보면 볼 수록 재미가 없었다,6,16,7,2018-11-02 14:46:00,0
407,lol(heyi****),딱 킬타임용. 웃긴장면 몇개있긴했지만 중간중간 끼워넣은 교훈주려는 듯한 대화들 넘 식상  영화흐름이 뚝뚝 끊기는 느낌  그냥 끝까지 막장소동극이었음 더 니았을거같아 아쉬움,7,18,9,2018-10-31 23:48:00,0
408,아아라라라라(rakk****),영화관에서 이렇게 다같이 웃은적 첨,10,40,31,2018-10-31 22:56:00,0
409,아돌프(epsd****),"소설 원작이라 그런지 스토리가 탄탄. 우린 타인을 다 안다고 생각하지만 각자 비밀의 면모를 품고 사는듯. 동성애도 편견 가득한 사회 시선을 현실적으로 표현. 사실 우리 자신을 누구보다 잘 아는 것은, 가족도 애인도 ...",10,8,0,2019-09-16 01:02:00,0
410,아름다운날들(love****),제목이 다했네. 우리 모두는 완벽한 타인일 뿐,9,8,0,2019-09-16 00:46:00,0
411,멜s(algm****),파국을 보고나서 마지막 다들 사이 좋은 결말을 보니 뭔가 더 슬프고 기분이 묘했어요 ㅜㅜ 연출이 참 좋네요,10,8,0,2019-09-16 00:45:00,0
412,댕댕이은섬(dutn****),와...쩐다 이영화...,10,8,0,2019-09-16 00:39:00,0
413,마들렌(izzy****),조진웅같은 남편 ㅠㅠ 현실에 진짜 있을까;;;,10,8,0,2019-09-15 23:43:00,0
414,신현웅(tlsg****),염정아 너무웃김ㅋㅋㅋ 쓰앵님 외치던 사람  맞냐고,10,8,0,2019-09-15 22:46:00,0
415,이이(qh02****),평점 위에꺼만 보고 봤다가 똥 씹은 기분이었음 내 기준 최악,1,8,0,2019-07-25 23:21:00,0
416,k2_1****,영화 스토리 만들려고 했는지 억지스러운 장면.대사들이 좀 있다.,5,8,0,2019-02-01 23:16:00,0
417,김기범(kibe****),기분 더러운 영화 찝찝하다,1,8,0,2019-01-24 16:37:00,0
418,지민(wl1a****),으 정말 보고나면 으 라는 말이 나온다,1,8,0,2019-01-09 23:30:00,0
419,햐(babu****),연출이 넘 구려서 그런지 배우들까지 전부다 어색하고 오글거리고 ㅋㅋㅋ,1,8,0,2019-01-05 02:47:00,0
420,richkim(rich****),내인생 역대 최악의 재미없는영화,2,8,0,2018-12-25 03:21:00,0
421,메퇘는 죽어야 제맛(wonm****),정신병자들 얘기....,2,8,0,2018-12-22 06:37:00,0
422,kasun(tcat****),그냥 그런데.. 왜 이렇게 인기 좋아?,6,8,0,2018-12-21 21:07:00,0
423,비닛(lhb0****),별로댜 진심 이서진연기도 별로고 다,1,8,0,2018-12-19 09:07:00,0
424,김주희(juhe****),블랙코미디라기엔 지나치게 무례하지 않았나? 풍자보단 조롱이 가득했다,2,8,0,2018-12-18 17:48:00,관람객
425,현지원(gusw****),뭐가 웃긴건지...진심 보는 내내 그냥 웃음이라곤 헛 웃음밖에 없었음...0점은 없음?,1,8,0,2018-11-29 14:11:00,0
426,키윙(wuu9****),중간중간 말장난은 웃겼으나 딱 그 뿐,1,8,0,2018-11-27 14:09:00,0
427,럭키걸(swsa****),보는 내내 너무 불편했음. 중간중간 웃긴 장면들 덕에 지루하지는 않았지만 짜증나고 불편했음. 그중에 결말이 제일 불편했다.... 거지같은 결말. 하...파리의 연인인가...,2,8,0,2018-11-26 14:53:00,0
428,dmsj****,이게 왜 평점이 좋은지 하나도 이해안간다 평점에 낚여 영화 보았으나 정말 지루하고 불륜에 뒷담화에 기분 더러운 얘기들이 소재인데 이게 어디가 재밌다는건지?지루하고 기분만 상하고 나왔다,1,8,0,2018-11-26 12:29:00,0
429,이민지(pooh****),보는 내내 마음이 불편했던 영화,1,8,0,2018-11-26 04:28:00,0
430,boulce(boul****),극혐-??-??-??,1,8,0,2018-11-22 21:51:00,0
431,bluemoon(writ****),너무 추악하고 더러운 모습들로 가득찬 영화를 보는 내내 불편했다. 어쩌면 너무 현실적이라서 마주하고 싶지 않은 내용이었을지도.,6,8,0,2018-11-18 00:02:00,0
432,윤승주(9810****),노잼인데 ....왜지밌다고말하는건지 이해가안가네ㅠㅠ,1,8,0,2018-11-17 18:47:00,0
433,sunn****,올해본 최악!!의영화. 이서진연기에 손발 오그라들고 돈도 시간도 아까운영화!,1,8,0,2018-11-16 23:19:00,0
434,Justice(kimc****),개재밌네....장소이동 없이 앉아서 얘기만 하는데도 영화가 재밌을 수 있구나...,8,9,1,2019-10-06 13:46:00,0
435,선짱(sunn****),좁아터진 집안에서 작위적인 설정들의 향연,1,9,1,2019-03-01 12:25:00,0
436,챙(codn****),캐릭터 하나하나 이기적이며 공감안되 너무 불편하게본 영화.,1,9,1,2019-02-15 01:25:00,0
437,네휘(dbwl****),평점에 속았다 최악이다,1,9,1,2018-12-22 17:08:00,0
438,sjsbmd(wlsg****),내 인생 최악 영화 유쾌한 내용인줄 알았는데 불쾌,1,9,1,2018-12-22 02:24:00,0
439,yg3510(rlad****),보는내내 불쾌한 영화.. 진짜 댓글 믿을게 못된다.,1,9,1,2018-12-21 23:01:00,0
440,박병철(pbc9****),쓸모없는 감정소모영화,1,9,1,2018-12-19 02:13:00,0
441,정교빈(bins****),보고나면 불쾌함만 남는 영화,1,9,1,2018-12-16 23:10:00,0
442,djqtdj(hhhh****),웃으며 즐길 수 없는 영화,1,9,1,2018-12-02 18:48:00,관람객
443,보보봉(wooi****),대체..별점 무슨 일이지. 기분 망치기 딱 좋은 최악의 영화다. 주제와 어긋난 서사구조에(왜 이야기를 쓰기 전에 개요부터 준비해야하는지 알 수 있습니다)  웃기려고 던지는 농담들은 대부분 섹드립이나 비하발언이고 마지...,1,9,1,2018-12-02 14:20:00,0
444,도경수사랑해(ehru****),재밌긴 개뿔 존나 결혼 안함,1,9,1,2018-11-28 21:57:00,0
445,이명환(himn****),댓글 알바들과 검색 사이트 영화 별점 관리 하시느라밤낮으로 개고생하시는 영화 마케팅 대행사 팀들 수고많으십니다 이런 완성도 낮은 영화를 뻥튀겨서국민들을 속여서 극장으로 오게하느라 수고많으십니다당신들 정말 한국영화의 ...,1,9,1,2018-11-28 18:11:00,0
446,nsih****,인간의 내면을 관찰한 척 내가 잘 알고 있던 사람들 조차도 모르는 비밀의 자아가 있다는 둥 타인의 모습을 보인다는 둥 어줍잖은 훈계에 유머코드조차 예전 방식을 벗어나지 못한 저질스러운 영화,1,9,1,2018-11-26 13:29:00,0
447,나(aqkr****),전체적으로 지루하지는 않았지만..불편한영화,6,9,1,2018-11-25 22:25:00,관람객
448,hsju****,이거 재밌다는 사람들 참...남편과 저 둘다 보면서 중간중간 웃낀건 있었지만굳이 큰화면으로 극장서 볼 스케일인가 싶어돈이 아까웠구요..이게 바람바람바람이랑다를바없는 영화네요~결국은 불륜을 했다는거고 모르는게 약이다속...,1,9,1,2018-11-17 07:43:00,0
449,namg****,내 취향은 아니었다 보고 씁쓸,4,9,1,2018-11-12 23:47:00,관람객
450,요미(sje0****),"대한민국의 뻔한 편견들이 담긴영화,  저급한 대사들 하며.. 재밌는 요소들이 중간 있어서 웃긴했지만 보는 내내 불편했던 영화였다.",2,9,1,2018-11-12 09:20:00,관람객
451,hbm07020(dlwn****),그냥하는게 더나을거같았다. 남자들에게만 해피엔딩이네,1,10,2,2019-08-04 20:29:00,0
452,비니비니(kinj****),"헐. 배우들 읻고,기대하고 봤는데...출연한 배우들이 아깝다영화? 영화는 무슨 ㅡㅡ;;",1,10,2,2019-04-03 23:52:00,0
453,ziaaa(2sun****),완전 억지스럽고 노잼인데...평점 뭐지,1,10,2,2019-03-17 14:15:00,0
454,슈만두(jyun****),ㅈ같다 이딴 영화가 있다는게,1,10,2,2019-02-28 21:28:00,0
455,sexy****,평점 진짜 조작같네 이따위영화가 500만 ㅡㅡ,4,10,2,2019-02-02 15:39:00,0
456,hanu****,"뻔한 웃음코드,억지설정,어설픈 연기 뻔한 결말.",1,10,2,2019-01-08 10:30:00,0
457,엘린(cogu****),내취향은 아니다 잼없어,1,10,2,2019-01-06 20:23:00,0
458,조진영(joji****),"가정 두로 바람피우는 남자에 게이 정체성 희화화, 여자들은 서로 질투하는 역할로 그리다니. 정말 트렌디하지 못하고 무식한 영화",1,10,2,2018-11-26 16:23:00,0
459,Sdtjjj(my07****),가족끼리 보러가지 마세요 영화 상영내내 뛰쳐나오고 싶었음 족같은 점이 너무 많아서 손에 꼽을수도 없음 돈 시간 버리고 스트레스만 ㅈㄴ받았음,1,10,2,2018-11-18 19:12:00,0
460,묘룽(rkdg****),평점이 터무니 없이 높아서 1점,1,11,3,2019-10-05 00:46:00,0
461,ngt8****,"누군가에게는 언어유희가 재밌을 수도, 인간의 본성이 적나라게 드러난게 생각할 의미를 준다고 생각할 수도 있지만(공감이 되든 안되든), 내가 보기엔 타인이 어떤 '비밀의 삶'을 가지고 있느냐의 문제보단 ...",1,11,3,2018-11-18 04:42:00,관람객
462,may(alfk****),그냥 전 혼자 살게요..,1,7,0,2020-02-27 00:31:00,0
463,har0****,그저그레요 별ㅈ루예요 별루 ㅠ,4,7,0,2019-01-08 18:50:00,관람객
464,서미소(smil****),"올해 최악의 영화. 영화보는 내내 불편하고 불쾌했다. 후반부는 아예 스킵했다. 중간중간 웃음코드는 있지만, 그것이 영화 전체의 불쾌함을 포장해주진 못한다. 정말 더러웠다.",1,7,0,2018-12-29 12:13:00,0
465,오잉오잉(wwhj****),재미없엇습니다....,2,7,0,2018-11-23 08:04:00,관람객
466,GiChangMoon(mgc9****),주변에서 기대를 너무 많이줘서 그런가... 그냥 그렇네요,6,7,0,2018-11-22 18:46:00,관람객
467,힐깖흙음흐(tmfr****),웃어도웃는게아닌영화~ㅠ,6,7,0,2018-11-12 16:01:00,관람객
468,김피카츄(sera****),그렇게 엄청 재밋진않음...,6,7,0,2018-11-11 20:54:00,관람객
469,hime(heyd****),작은 공간에서 꽤나 알찬 연출. 하지만..누군가에게 추천하고싶지 않은 영화,6,7,0,2018-11-06 02:50:00,관람객
470,클락스틸(limk****),이서진 보고 개새* 라고 하는 김지수를 보며 나도 모르게 *발년이 육성으로 나와버렸다 개인적 으로는 김지수가 젤 쓰레기 였다,8,8,1,2020-03-22 03:04:00,0
471,Unknown(insu****),X... 이야기하고 싶지도 않은 역겨움과 식상함.,1,8,1,2019-11-03 02:50:00,0
472,제이즈컴퍼니(hwan****),재밌게 봤지만 저 중에 누구도 되고싶지 않은.. 하지만 분명 저 중에 누군가일ㅋ 스스로를 인정하게 되는 찝찝함이 매력적인 영화,10,8,1,2019-09-16 00:55:00,0
473,콜드브루(yust****),이 영화를 보고 나도 남편도 이 게임 해보자란말을 서로 하지 않는다..ㅋ ㅋㅋ,10,8,1,2019-09-16 00:51:00,0
474,영(unun****),영화관에서잤다 돈아까워 노잼,1,8,1,2018-11-23 17:19:00,0
475,조영환(cyhs****),와! 이영화 보고 왜  기분이 꿀꿀 하지이런 기분  처음 이네,1,8,1,2018-11-18 22:22:00,0
476,joks(taej****),결말이 차라리 비극으로 끝났으면 더 좋았을 영화,6,8,1,2018-11-12 00:06:00,관람객
477,겸(lovv****),소재가 깨달음을 주지만 그보다 지저분함이 더해서 보는 내내 심신이 오염되는 기분. 스트레스 받으면서 봄.. 남에게 추천할일은 없는 영화.,4,9,2,2020-01-24 12:54:00,0
478,주작(qusr****),"이게 별로라는사람은 불륜하고있는 유부남,유부녀 100퍼다",10,9,2,2019-10-06 13:42:00,0
479,사막의오아시스(m478****),설정이 너무 과하다 동물의 왕국도 아니고 어설프게 미드 따라하다 가랑이 찢어진 느낌,2,9,2,2019-02-07 00:48:00,0
480,노래소년(musi****),난 별로 이서진 김지수 토나오게 역겹다,1,9,2,2019-01-25 19:00:00,0
481,므느으(thes****),영화 보고 기분 더러워짐;,1,9,2,2019-01-11 15:53:00,0
482,hello(hjkj****),쓰레기 쓰레기 쓰레기 쓰레기,1,9,2,2018-12-23 07:26:00,0
483,KKONG(sena****),교훈도 없고 재미도 없고 처음부터 끝까지 불륜얘기에 빻은 것 투성이고 애초에 재미있는 장면도 몇 장면 없었는데 어디가 재밋지,1,9,2,2018-11-27 10:20:00,0
484,해리(love****),불륜 숨겨주는 게 남자들끼리의 의리냐? 수준 딱 나오네 쯧쯧,1,9,2,2018-11-26 00:01:00,0
485,ForSenti(daca****),평점이 너무 높다..걍 그랫음 이서진 연기왜케못함ㅋㅋㅋㅋ,6,9,2,2018-11-24 21:32:00,관람객
486,hanj****,난 너무 재미없던데말로웃기는장면 한두컷이있는거뿐이지감동도재미도결론도이상하던데다들재밌다하는데 내가이상한건가,1,9,2,2018-11-19 11:08:00,0
487,울트라맨(lang****),이거 10점 준ㄴ놈들 아가리를 후려야 한다,1,9,2,2018-11-16 23:18:00,0
488,모도모도(asad****),tvn  참 고약하다.명절에 이 영화를?ㅎㅎㅎ,10,10,3,2019-09-16 00:18:00,0
489,온리샤월(tidl****),최악 찝찝하기만하다 ㅋ,1,10,3,2019-09-15 23:59:00,0
490,Pink love(mslo****),와...평점에 낚임...기분만 안좋아짐 ㅡㅡ;;최악들만 모아둔 뻔뻔함의 현실 바나나 까기 게임???,1,10,3,2019-05-29 22:25:00,0
491,펑키(unin****),졸라 재미없네  돈아깝네하도 오글거려서 못보겠다,1,10,3,2019-02-24 22:58:00,0
492,솔티 카라멜(soeu****),"너무 더럽고 불쾌한 영화, 한국에서 이 영화가 흥한다는 게 무슨 의미일지 생각해봐야 하지 않나. 바람 피우고, 불륜 상대가 임신하자 발 빼는 게 원래 인간의 본성이다 원래 모든 사람은 완벽하지 않으니까 그럴 수 있다...",1,10,3,2019-02-24 19:08:00,0
493,서영(smil****),보는내내 웃음 1도 안나오던데 도대체 어느포인트에서 다들 웃은거지..? 진짜 재미없고 기분만 나빠짐,1,10,3,2019-02-19 01:45:00,0
494,퀸(chgm****),뭐가 재밌다는건제 도저히 이해가....안되네요...,1,10,3,2018-12-20 14:41:00,0
495,핍(kry_****),제 인생 최악의 영화 1등에 올랐으니 1점 드립니다. 비밀의 삶이든 세 개의 삶이든 불륜은 정당화될 수도 없고 비밀리에 숨길 일도 아님. 오는 연락 중 9할이 불륜인 쓰레기 인물들 옹호하는 쓰레기 영화.,1,11,4,2018-12-23 17:30:00,0
496,제럴드(gent****),괜찮은 배우들에 평점도 좋아서 기대했는데 어처구니없어서 충격이 가시지 않네. 설정도 정도껏해야지 이건 뭐 억지의 끝판왕에다가 눈살 찌푸리게할 정도로 구성이 엉망이고 재미도 없다. 이 배우들 안목이 이 수준이었다니 다...,1,11,4,2018-12-21 00:39:00,0
497,glor****,"썩, 즐거운 스토리는 아닌데....",4,11,4,2018-11-20 09:38:00,관람객
498,twen****,평점 알바들 난리낫네ㅋㅋㅋㅋ,1,11,4,2018-11-08 23:14:00,0
499,편의점왕김당구(zzsc****),이게 영화냐 할말이 없다,1,12,5,2018-12-22 05:06:00,0
