,nickname,text,score,like,dislike,time,watch_movie
300,하파엘 도산 안창호(tndu****),쉬방 느무 슬퍼서 32세 평생 처음 평점 남긴다. 장애인과 비장애인의 사랑이 아니다. 그냥 모든 사랑이 이렇다. 좋아지고 사귀고 사랑하고 변하고 이별하고.,10,10,8,2018-07-03 03:00:00,0
301,인생망한새끼(lees****),라스트씬 하나의 임팩트만으로 수많은 블로그와 커뮤니티에서 미화되고 또 미화되는 영화. 마지막 츠네오 즙짜기 한방으로 명작 반열에 들기에는 초반부가 지루해도 너무나 지루한 영화였다. 평점 9점은 다시 생각해도 진짜 아...,1,10,8,2017-02-08 14:26:00,0
302,piw8****,"조제와의 네 번째 만남을 방금 마쳤다. 그렇게 또 담백한 이별을 했고, 일년 후 쯤에 난 다시 조제를 찾아갈 것 같다..",10,11,9,2012-12-28 19:33:00,0
303,김우유(song****),영화 유명해서 봤는데 전혀 공감가지 않는 내용이네요. 도대체 뭐가 감동적이고 재밌는지 하나도 모르겠습니다.;; 남자주인공은 처음부터 그것만 밝히는 놈인거같고 그런놈이 장애인 여자를 만나 차는 내용..인듯 전 괜히보았...,1,12,10,2014-10-13 00:19:00,0
304,Amber(csun****),매번 한발짝 늦게 자신의 감정을 깨닫는 츠네오가 안타까웠습니다. 조제는 그 용기가 어디서 난 걸까요? 오랜시간을 심해에서 보냈지만 조제는 용감히 그 곳을 벗어났습니다. 츠네오는 떠났지만 그녀의 우려처럼 조개처럼 뒹굴...,10,13,11,2016-03-22 23:57:00,0
305,코기통통(olol****),,4,1,0,2020-10-26 20:21:00,0
306,950812(choi****),다들 그 생각했나요 ? 남자배우처럼 살자.,6,1,0,2020-10-22 02:08:00,0
307,중경(sks_****),옛날에 전남친이 나랑 헤어지고 였나 여튼 이 영화 한 장면을 캡쳐해서 지 카톡배경을 한적이 있음 그땐 너무나 좋아했던 맘에 그 장면을 인터넷에 올려 이게 무슨 영화인가요 질문글도 올려보곤 했는데.. OOO였네 걍 지...,10,1,0,2020-09-25 16:14:00,0
308,오동현(oyk1****),마지막 츠네오 오열장면 은.. 잊지못한다,10,1,0,2020-09-17 07:09:00,0
309,승호(winh****),츠네오가 조제를 떠난 이유는 그녀를 장애인으로 생각했기 때문이지만 츠네오가 조제와 헤어진 이유는 장애인이라는 틀이 아닌 조제 자체를 사랑해서라고 생각한다,10,1,0,2020-09-06 02:29:00,0
310,민트쵸코(toth****),츠네오는 세상에서 제일 편견이 없는 사람이다.,8,1,0,2020-08-30 02:38:00,0
311,joll****,결국 난 모든 것을 사랑하지 못한거지,10,1,0,2020-08-17 22:04:00,0
312,leew****,츠네오가 마지막에 길을 걷다가 오열하는 장면이 와닿았다. 사랑하는 그녀를 위해서 솔직히 사랑이 영원했으면 하는 바람이었지만 그게 말이나 생각처럼 쉽지가 않다는 것을 영화가 여실히 보여준다. 조제의 귀여운 일본 사투리...,9,1,0,2020-07-06 22:15:00,0
313,하이(ehle****),자꾸자꾸 다시 찾아보게 되는 영화들이 있다. 조제랑 츠네오가 서로에게 그렇겠지.,9,1,0,2020-07-05 14:51:00,0
314,kobe****,내 인생영화.. 그러나 다시 보고 싶지 않은 거스를 수 없는 슬픈 현실..,10,1,0,2020-06-30 08:27:00,0
315,너구리(toto****),헤어진 지 1년. 지영아 씩씩하고 행복하게 살고 있겠지. 고마워....,10,1,0,2020-06-14 10:24:00,0
316,Taepoong(herj****),조제가 휠처를 사지못하게하는 이유는남자가 곧 도망갈줄  알앗기때문이고 덤덤햇기때문이다,10,1,0,2020-04-21 20:51:00,0
317,KATC(huns****),사랑을 알고난 후 두고두고 봐야할 영화,9,1,0,2020-04-18 17:48:00,0
318,요비(tele****),나는 도망치지 않기로 .,10,1,0,2020-04-11 02:21:00,0
319,태양(thes****),"진짜로 갈거야? 가란다고 진짜 갈 놈이면 가버려. 하.... 어릴적 만나던 여자친구가 이 영화를 보라고 줬을 때, 5분도 안보고 자버렸었다. 이거 그 때 봤어야 되는데 왜 10년도 더 넘은 지금에야 봤을까... 이건...",9,1,0,2020-04-07 00:30:00,0
320,마멜(pyom****),내가 조제라면 무너졌을거야,10,1,0,2020-03-31 05:06:00,0
321,Day7(yjhx****),나를 걷게 도와준 사람이 떠난 후에야 나는 스스로 걸을 수 있게 되었다.,10,1,0,2020-03-25 21:37:00,0
322,네일아트(kjon****),츠네오는 앞으로 이여자 저여자 즐기며 살것이다,8,1,0,2020-03-24 19:48:00,0
323,vodr****,"'이 영화를 보고 단 한 사람이 떠오르고, 그 사람에게 널 떠올리게 하는 영화야 라고 말할 수 있다는건 잘, 잘 살아왔다는 증거일까..' 지금이 아닌 몇 년 전에 보았다면 울지 않았을 영화. 먹먹해지지...",10,1,0,2020-03-19 22:02:00,0
324,aque****,벌레가있어. 그리고 다낡고 헤진인형이 주인공의 모습과 겹쳐보였다. 그모습이 왠지나도모르게 서글펐다.,10,1,0,2020-03-18 21:57:00,0
325,enjo****,"영화가 끝이나고 이런 생각이 들었다. 처음부터 편견 없이 볼 수 있었을까? 하는.. 이 영화는 지극히 평범한 연인들의 사랑과 이별까지의, 딱 거기까지의, 이야기이다.",9,1,0,2020-03-17 19:53:00,0
326,위인일세(forz****),스포일러가 포함된 감상평입니다. 감상평 보기,10,1,0,2020-03-14 22:55:00,0
327,포야와그래(hous****),와... 진짜 이걸 뭐라고 해야하나...진짜 아무말도 못하겠다. 몸이 하늘로 붕 떠버린 기분마져 든다. 세상에서 가장 진솔한 고백이 담겨있다.,10,1,0,2020-03-14 00:43:00,0
328,isshogirl(ssil****),츠네오 우는 장면이 안잊혀진다.. 잊고 살던 사람을 다시금 떠오르게 만든다..나 이거 왜 이 새벽에 본 걸까 그리고 나 다시 이 영화 볼 수 있을까 @Netflix,10,1,0,2020-03-12 02:27:00,0
329,박다연(daaa****),이 명작을 왜 이제 알았을까,10,1,0,2020-02-12 01:53:00,0
330,hyun(qksw****),결국 불어야만 했던 민들레 홀씨,9,1,0,2020-01-26 23:15:00,0
331,사파엘(tlsg****),이 영화를 보기 전에는 약간의 거부감이 있었는데 왜 사람들이 이영화를 명작으로 뽑는지 알겠어요  마지막에 남주가 우에노 주리랑 걸어갈 때  남주가 점점 표정이 안좋아지면서 우는데  연기가 정말 대단했고 저도 여자친구...,10,1,0,2019-10-15 18:45:00,0
332,didd****,"2019년 10월에 본 사람인데..명작은 시대불문하고 명작인 것 같다,,",10,1,0,2019-10-11 05:45:00,0
333,NiceCatch(clim****),누구와도 사랑은 할 수 있지만 가족으로 인정받는다는 건 사랑만으로 되지 않는다.판타지 같지만 너무 현실적인 연인의 이야기.,10,1,0,2019-08-30 04:26:00,0
334,깡군(teen****),서로를 너무 사랑했기에..서로를 너무 잘알았던...,10,1,0,2019-08-15 01:15:00,0
