type	text
네이버	너무 감동적이예요 ㅠㅠ
네이버	mftr**** 분수부터 다시배워라 2에서 3을 나눠?장난해? ㅋㅋ
네이버	추석특선영화로봤는데 진짜감동적ㅠㅠㅠㅠ♥모래만안튀겼으면!!!!
네이버	너무 감동적이다 ㅠㅠ
네이버	와 진짜 감동적이고...쩐다근데 거침없이 하이킥에 민호나오네
네이버	감동......ㅠㅜ
네이버	영화구성이 어떻고 연기력이 어떻고 할꺼없이 감동적인 영화입니다.
네이버	뻔해도 재밌다....
네이버	솔직히 뻔한데 감동적임 정재영도그렇고유선이랑 그학생들도연기너무잘해줌 하이킥이민호랑 이현우도보이고
네이버	감동 ㅠㅠㅠㅠ
네이버	볼만 했다
네이버	진짜 감동적입니다
네이버	의지같은걸 느끼게해줌 나름감동
네이버	다좋은데 왜 전문가 평점이 저따구야
네이버	쓰레기 영화는 아님니다...
네이버	이런 야구 감독은 없을꺼다
네이버	좋아여!~~~~♥
네이버	감동적임
네이버	감동적이네요 ㅠㅠㅠㅠ
네이버	재밌어요
네이버	재밌네요
네이버	ㅅㅅ좋아요
네이버	이런류의 영화가 스토리는 대충예상 짐작이가는데 재미는 있네요~별기대 안하고 봣는데 재밌었음^^감동도 상당하고
네이버	감동적이었다.ㅠ현우 짱
네이버	은근히 사람 울리는 맛이 있네. 역시 장은 오래 담궈도 제맛인가
네이버	굿
네이버	정재영의 포스있는 연기ㅎㅎ 기억에 남습니다.
네이버	우리에게 전달하고자하는 메세지가 담겨있다..
네이버	결말이 뻔하던말고간에 이건 사람의 마음을 웅클하게하는 영화다..
네이버	감동적이고 진심이 느껴지는영화였음
네이버	최고
네이버	good
네이버	굿!!
네이버	쓸 데 없이 거창하지 않은 소박한 감성이 좋았다. 동정심 유발하려 하지 않은 것도. 아가들도 귀엽고. 한화 힘내라...
네이버	굿!!!
네이버	감동적이고뭐라고할수없는영화인것같아요 말이아닌마음의교감을하는영화인것같아요
네이버	정재영 좋음
네이버	군산상고 선수들 박수쳐줄때 가장 감동했읍니다~
네이버	3번 봤는데 3번 모두 울었습니다. 정말 감동적입니다. 강추!
네이버	최고 이말한마디면 다 끝
네이버	여태 야구영화중에 최고가 아닌가싶다ㅋ
네이버	재미있었어요 보다가 눈물났음
네이버	감동적이어서 좋았던 것 같아요.잘봤어요!
네이버	글러브 정말 재미있어요~
네이버	뻔하지만 착한 영화. 런닝타임은 조금 길다.
네이버	오글오글오글.... 그러나 그 오글거림이 나쁘지않은 영화!!! 정재영 짱!!!!
네이버	난 눈물났음.. ㅠㅠ
네이버	재밋어요!감동도 잇구
네이버	언제나 독특한 정재영씨의 또박또박 발음대사.. 중간중간 감동이 있었어요.  ~^^
네이버	퍼펙트게임하고 너무 비교되네..
네이버	이거보고진심감동먹었다.......어떤장면에서는눈물도맺히고재미도잇고
네이버	마음이 짠하네요..경기를위해 뛰고 연습하는 선수들의 마음이 잘 담겨있습니다.^^
네이버	감동적인 영화 조금은 억지스러운부분도있지만 충분히 재미있는영화
네이버	대박 감동있음
네이버	짱
네이버	정말재밌었다 말이 필요 없다
네이버	노력.... 그리고라는 소재. 감동은 있지만 뭔가 전하려고 하는지 애매하다...
네이버	찡~~~~~해
네이버	굿
네이버	되게 재밌게 본거 같아요. 감동적이였고
네이버	너무 감동적이게 가족들하고 봣어요 ㅎㅎ ^^
네이버	청각장애인들 불상하다
네이버	감동적이었다. 무언가가 울컥하는 느낌
네이버	좋으다
네이버	감동적인 작품입니다
네이버	이거보고 아무 느낌 없다그러면 사람감정이 있는거맞나 싶을정도.. 너무 좋았습니다
네이버	배역이 좋았듬
네이버	완전감동이었음
네이버	감동~
네이버	느낌이 통했네! 시기가 안맞아서 그렇지 좋은 작품이네요! 밟아줘라! 무시하는것보다 그게 좋다!
네이버	감동이 별로 없었음.감동이 없으므로 여운도 없었다.
네이버	감동적입니다 ㅠㅠ 눈물이 쓰나미처럼 쏟아져나왔네요.
네이버	정말 가슴이 따듯해지는 영화.
네이버	nalay18님  이상하네 그것때문에 평점을 3점 주고 ?
네이버	감동적이에요 잘 봤습니다^^ ㅠ
네이버	보는 내내 눈물이 멈추질 않았습니다. 너무 감동적입니다 . ㅠㅠㅠ
네이버	뜻있고, 좋은 감동, 하지만, 너무 흔한,
네이버	이런 영화 취향아닌데 뜯있고 좋네요
네이버	상투적인 내용일지 몰라도 정말 푹 빠져서 재미있게 봤습니다.
네이버	오랜만에 참 감동적인영화 즐겁게 봤네요..
네이버	감동, 감동, 감동, 또 감동 했습니다...^^ !
네이버	채널을 돌리다 무심코 봤던~밥먹는거 마저 잊게만드는 흡입력 그리고 감동 다들 한번쯤 꼭 봤으면
네이버	상영시간은 길지만, 감동도 있고 재미도 있었어요~
네이버	정말감동적입니다
네이버	정말감동적이네여,,ㅠㅠ
네이버	뻔하지만 그래도 먹먹한 감동 ㅠㅠ
네이버	상투적인 내용의 연속이지만 훈훈한 감정만은 살아있다.
네이버	진짜 추천이요!! 안보면 후회한다 생각함 감동적임
네이버	전광판에 새겨지던 G LOVE
네이버	조금만더 고생하는 장면이 있었다면 정말 따듯했을듯 ㅋ
네이버	짠~하고 감동적인 영화였습니다^^
네이버	승부욕 없는 남자는 남자가 아니다. 남자는 그거빼면 껍데기밖에없어
네이버	눈물 쏙 빼는 감동이었습니다!
네이버	우생순은 별로였는데, 글러브는 좋네요. 잔잔한 감동과 재미도 있구
네이버	와..진짜 감동적이고 새로운 영화ㅠㅠ
네이버	청각장애인역 표정,연기,수화 잘하는 영화작품ㅎㅎ
네이버	정재영씨는 정말  야구선수랑 잘 어울린다. 따뜻하고 재밌던 영화 ㅋㅋ
네이버	진짜 좋은 영화.. 감동적이고 눈물을 흘리게 하는...
네이버	적절한 스토리 적절한 감동 연휴때 보기 좋았던 영화
네이버	영화관에서도 보고 어제 티비로도 봤는데  두번봐도 눈물이ㅠㅠㅠㅠㅠ
네이버	기대없이 봤다가 한 방 맞았다.깨알 재미와 약간의 감동^^돈 아깝지 않을 영화!
네이버	감동과 열정과 재미
네이버	...눈물이 ㅠㅠㅠㅠㅠㅠ 결말이 뻔하지않아 좋기도하고 그래도 않좋기도하고
네이버	영화가 사람을 울리네 ㅠ
네이버	결말이 뻔하지 않아서 좋았던영화♥울며봤어용
네이버	퍼펙트게임 이라는 야구 영화보단 더 괜찮더라
네이버	이건 10점 주어도 아깝지 않다
네이버	오늘 TV에서 봤어요. 모두 연기 정말 잘하네요. 감동적입니다..ㅜㅜ
네이버	좀 명대사 많아서 좋습니다 ㅋ
네이버	감동적이에요~
네이버	울 아들이 영화 보고 감동받아서 울었답니다
네이버	잘만들었다는 생각이 든다.
네이버	감동적이고 재밌었음ㅠㅠ
네이버	왠만하면 감동안먹고 안우는데 선수들하고 감독이 열심히 하는거보면서 울었네요 짱!
네이버	내생애 첫 평점10점 영화!마음이 따뜻해지는 감동 작렬!폭풍눈물 뽑게 하는.."감동적이야..."
네이버	좋은 뜻이 너무 많이 있는 영화인 것 같아요~
