type	text
네이버	관객들에게 느낌을 강요할수는 없는것이지만, 이 영화에서 이영애가 죽은 백선생을 매장후 애매한 표정으로 웃는 장면이나 가장 마지막장면에서 하늘을 보는장면 등등을 보고도 평점이 이따위일수밖에 없다는게 참 안타깝다.
네이버	명작. 지금봐도 전혀 촌스럽지않다. 금자는 이영애가 아닌다른배우로 대체불가
네이버	평점 영화에비해 너무 낮네요
네이버	최고
네이버	미자탈출하고 봤다. 정말 인간이 어디까지 잔인해질 수 있는지 확실히 보여주는, 진짜 말그대로 여자가 한을 품으면 오뉴월에 서리가 내리는걸 보여준거같다
네이버	최고다 연기가 아주 훌륭했다
네이버	별점이ㅡㅡ 진짜 제대로 미친영화.  미쳤다는게 부정적인 단어만은 아니죠. 그만큼 최고라는 작품이에요. 대단한감독이네요. 너무재밌게 몰입해서봤어요. 최고
네이버	레전드
네이버	복수 3부작의 마지막은 레트로풍으로 만들었어,.. 낯익은 나레이션으로 시작 하여.. 그러나 그 복수는 한국영화에선 볼 수 없었던 과격함과   신선함.. 난 만족스러웠어. 복수는 이렇게 하는거야...
네이버	굉장한 영화다. 특히 박감독의 미쟝센은 슬픔과 아름다움이 공존하는듯하다.
네이버	우와 요즘 영화들 반성해야됨
네이버	이게 7점대 초반의 영화라고? 말도 안된다 진짜
네이버	볼때마다 새롭다
네이버	내 인생의 영화.
네이버	보고 또 볼때마다 새로운게 느껴지는 영화에요~. 전 7번이나 봤는데도 안질리더라구요;;ㅋㅋㅋㅋ
네이버	올드보이같은 자극적인 반전을 기대하며 본 사람때문에 이런 평점이 나온듯하다
네이버	복수를 하면서 피해자가 가해자가 되는 인간의 양면성
네이버	청년경찰에 9점때리면서 이 심오한 영화에 7점대라... 수준 알만하네.
네이버	아래 평점 낮다면서 9점을 쳐 주냐. ㅉㅉㅉ
네이버	와... 요즘 영화에서는 찾아볼수없는 몰입감..그리고 요즘 영화는 보는중에 떠오르는 생각이나 장면 내용전개 그런게 뭉툭뭉툭하게 느껴지는데 이영화는 장면하나하나 내용하나하나 세세하게 머릿속으로 전해진다정말 말로 표현할...
네이버	3부작 중 가장 뛰어나다고 생각하는데. 다른 사람들은 그렇지 않은가?
네이버	소름 끼치도록 아름다웠던 영화
네이버	이영애 차가운 카리스마 그리고 목소리 빨간구두 아~가~씨~
네이버	박찬욱의 '복수'는 한결같이 쓴맛이 난다.
네이버	이게왜 7점이야?ㄷㄷㄷ
네이버	복수시리즈중에 제일 잘뽑아낸듯
네이버	개인적으로 이게 올드보이보다 더 좋았다
네이버	볼때마다 새로운 장면을 발견하게 된다. 한컷도 버릴게없다. 의미없는 대사도 없다. 미장센은 말할것도 없고.
네이버	톡 까놓고 내용이나 줄거리 느낀점보다 연출 장면 대사 가 더 중요한 영화다.
네이버	금자는 웃지않는다
네이버	감독은 천잰가....
네이버	친절하게 담아낸 친절한 금자씨.
네이버	한국영화배우 역대 최강의 미모 이영애
네이버	여성혼자서 남성하나를 잡아내는데 무려 13년이나 걸렸고, 뒤에는 수많은 조력자가 필요했다. 백한상을 뒤집어 엎고 끌고다닐 때의 그 힘겨운 모습을 잊을수가 없다.
네이버	찬사.
네이버	평점 올려야함.
네이버	개독 개쓰x기들이 평점테러 했구만 ㅋㅋㅋ
네이버	미안해 몇번 말하는지 제니가 손가락으로 세는 장면이 기억에 남네요
네이버	뒤늦게 본게 너무 아쉬운, 박찬욱영화를 믿게 되는 그런 영화다
네이버	잔인한 복수극을 벌이는 이영애의 파격적인 연기가 볼만했다. 그러나 복수를 하는 자도 결국 행복해질 수는 없다는 사실이 무겁게 다가온 영화.
네이버	아 존나 이런명작이 7번방보다 평점이낮으니까 2015년 상반기 국내영화들이 줄줄줄이 다 망한거야 못배운네티즌들아
네이버	금자는 구원을 받지 못했다.
네이버	10점!
네이버	왜 이게 7점대임? 짜증나네
네이버	아름다울 정도로, 명확하고 화려했다.
네이버	영화 자체의 분위기가 너무 맘에듬. 영화인이 아닌 나로써는 어떻게 표현할 방법이럾다
네이버	추요
네이버	12년전 영화라는게 믿기지가 않음...
