,nickname,text,score,like,dislike,time,watch_movie
215,ekaq****,"진심... 궁금하신분들 금방 내릴거같으니 몇주만 참고 집에서 보세요이건뭐 뻔한 한국 재난영화 피했다가 제대로 똥밟았네요뭐 실험적인 예술영화 찍고싶은 감독의 의도로 나온 쓰레기..빙우,롤러코스터 이후로 진짜 오랜만에 ...",1,57,29,2016-12-11 23:12:00,0
216,아하하(sjar****),뻔한스토리. 지루함. Ost랑 엠마만 괜찮음,1,90,62,2016-12-12 20:29:00,관람객
217,뿌(yhj8****),기대하고갔는데 정말 별로였습니다내용도 딱히 탄탄하고 재밌는구성은아니구요좀 지루한? 영화가말하고자하는 메시지는 좋은데 재미없게봤습니다 약간어설픈것같은느낌도 들고 감동적인 장면은 별로 안감동적이예요. 엠마스톤은여전히매력...,3,106,78,2016-12-08 12:06:00,0
218,sanv****,진심보지마세요진심그냥무한도전보세요,1,55,28,2017-01-09 01:45:00,관람객
219,난난난(hsh9****),두번째보니 더 재밌다..,10,27,1,2017-10-08 00:16:00,0
220,박우유(qkrr****),화면은 예쁜데 스토리 바닥,1,36,10,2017-01-19 14:43:00,0
221,카루스(karo****),"진부한 스토리, 뻔한 뮤지컬형식, 난잡한 진행, 개연성 증발, 전달하고자 하는 의미 상실, 마지막 상상씬은 감독이 뭘 말하고자 하는건지 ㅋㅋ 진심 별점 안다는데 이영화는 오랜만에 단다 별점 조작했는지 의심스럽다.",1,37,11,2017-01-02 22:10:00,0
222,kiku****,졸렸어요... 생각보다 실망...,1,39,13,2017-01-03 11:27:00,관람객
223,lala****,지루하고 생각보다 재미없었어요,1,43,17,2017-02-17 18:20:00,관람객
224,밤비(bamb****),인생영화는 아니였음 나만그런가,1,45,19,2017-01-14 18:27:00,관람객
225,yeah****,두번 봐도 아깝지 않을 영화.,9,45,19,2016-12-14 19:26:00,관람객
226,보랏(zldn****),감성에 젖은 나라.  유행에 민감한 나라에게 최적화된 영화.  평론가들이 점수 높게 주면 세뇌당해서 명품영화로 보는 한국인들에게 딱인 영화.,1,46,20,2017-06-17 12:26:00,0
227,김연경(celi****),졸음을 참아가면서 봄....와... 핵 노잼...,1,49,23,2017-01-22 12:21:00,관람객
228,ing6****,이번년도 본 영화중 최악의 영화...,1,164,138,2016-12-08 21:56:00,관람객
229,수박(bana****),"재즈 완전조아하고 (음반수집), 감독 전작 위플래시 세번봤고, 일상생활에서 색감중요시 여기고, 뮤지컬 영화는 딱히 조아하진않지만.... 진짜 재미없다 졸다가 결국 도중하차함... 기대엄청하고 봤는데 영화의 메세지를 ...",1,30,5,2017-02-05 14:33:00,0
230,장친구(jang****),"하....영화에 감각이 없어서 그런지 시간과 돈이 많이 아깝네요..유투브가 더 교훈과 재미, 감동이 있는 것 같아요ㅠㅠㅠ그리고 카메라가 빙글빙글 돌 때...속이 울렁거려서 콜라를 다 먹었네요..처음으로..ㅠ",1,30,5,2016-12-19 20:14:00,0
231,sososong(kail****),이 영화 평점 너무 이상해요;; 졸린거 참고 참았는데 결국 끝까지 못봤어요,1,33,8,2017-05-29 15:47:00,0
232,호이(whdd****),정확히 하품 17번 나왔다,1,36,11,2016-12-25 23:30:00,0
233,사라라라라(mone****),이영화만든 새1끼 존ㄴ 때리고싶다오글거리고 뜬금없이 갑자기 왜춤추는지?재즈에대해 얘기하는데 이해하나도안가고자기들끼리 존나바쁘던데 무슨얘기를하는건지내머리가 나쁜건지 노래도별루고자고싶어도 스1바 존1나게 시끄러워서 잠도...,1,43,18,2016-12-26 01:55:00,0
234,jjo2****,재즈가 싫어지는 영화. 정신없고 지루함,1,61,36,2016-12-16 23:57:00,관람객
235,Gen(sun1****),이거 누가 조작하냐ㅋㅋㅋㅋ오후에 본 영화인데 잠들고 중간에 나가고 싶었던 영화는 처음이다 지루하게 짝이없고 무분별한 스토리에 그냥 노잼,1,70,45,2016-12-11 20:35:00,0
236,토옥(xhdh****),내일 죽는다면 이 영화를 보지 마시고 그 돈으로 맛있는거나 먹는게 200배 나을거같아요ㅎㅎㅎ,1,82,57,2016-12-08 12:08:00,0
237,미쉘(zzun****),첫장면부터 오글거리는 뮤지컬 클리셰 범벅~ 노래 자체도 별론데다가 배우들은 노래를 못함 심지어 탭댄스도 잘 못춤 와이어액션 보다가 헛웃음 나옴 ㅋㅋ 인간들이 개눈박이인건지 아님 후기 알바인건지 나원참 아무튼 지루해서...,1,130,105,2016-12-08 22:02:00,0
238,핵전문(tpdu****),영화에서 전달하고자 하는게 뭔지 도통모르겠네 전혀남는게없음 그냥 아파트 베란다에서 사람사는거 2시간동안 구경한느낌 이게더재밌을수도,1,29,5,2017-03-17 18:10:00,0
