,nickname,text,score,like,dislike,time,watch_movie
488,sae1****,뻔한 소재 뻔한 내용 뻔한 감동.,4,0,0,2011-05-27 12:45:00,0
489,juda****,잔잔한 감동.. 더 힘내지 못 하는 제가 부끄럽네요.,10,0,0,2011-05-27 00:36:00,0
490,ssos****,좀 뻔하지만 볼만해요,8,0,0,2011-05-26 23:29:00,0
491,reno****,야구를 너무 사랑한 나머지 그만,6,0,0,2011-05-26 18:36:00,0
492,cap0****,나 눈물 나서 안들킬려고 딱았음.... 감동적!,10,0,0,2011-05-26 11:12:00,0
493,sorr****,감동......+.+,10,0,0,2011-05-26 09:58:00,0
494,2002****,진짜 감동적이었다,10,0,0,2011-05-25 22:39:00,0
495,skgm****,완전 감동,10,0,0,2011-05-25 19:18:00,0
496,1004****,정말 감동적이었어요~~~~~최고최고!!!!,10,0,0,2011-05-25 16:31:00,0
497,wedo****,아이들때문에 본 영화,8,0,0,2011-05-25 13:48:00,0
498,star****,"생각은다르겠지만 ,,,,, 무슨감독님을, 이거실화자나 칫",10,0,0,2011-05-24 23:11:00,0
499,rlax****,변화하지 못하면 영원한 '꼰대'입니다. 강감독님,1,0,0,2011-05-24 12:10:00,0
